'Fuente[V]','Voltimetro[mV]','Amperimetro[mA]','T[°C]'
0.4,397.8,0.02,29.1
0.425,422.5,0.02,29.1
0.45,446.8,0.03,29.1
0.475,471.6,0.06,29.1
0.5,495,0.11,29.1
0.525,518.1,0.17,29.1
0.55,541.5,0.28,29.1
0.575,562.8,0.42,29.1
0.6,584.3,0.62,29.1
0.625,604,0.88,29.1
0.65,623,1.22,29.1
0.675,640,1.6,29.1
0.7,656,2.05,29.1
0.725,672,2.57,29.1
0.75,687,3.1,29.1
0.775,701,3.96,29.1
0.8,714,4.28,29.1
0.825,727,4.89,29.1
0.85,739,5.55,29.1
0.875,752,6.19,29.1
0.9,763,6.86,29.1
0.925,775,7.56,29.1
0.95,786,8.19,29.1
0.975,797,8.91,29.1
1,809,9.62,29.1
