[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,MEDIDAS MVSH - GRUPO AL/VIDRIO
FILEOPENTIME,25905752.19,11/20/2025,11:31 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Aluminio puro,SAMPLE_MATERIAL
INFO,Pelicula delgada de Al/vidrio,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3.44mm x 4.38mm,SAMPLE_SIZE
INFO,Rectangular,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,25905804.5,300.0262756,6269.059,,,2,,,,5.85000000252622,,,,,,,300.0262756,300.0262756,6269.059,6269.059,,,23.662952,,,,-99999999,4961,299.8764,6269.059,,,,,,,,,,,,,,,,,,,,,,,300.0262756,,,,
,25905834.715,300.0275726,10000.1335,-8.57451566827817E-6,1.32887279671894E-6,1,0.999253354069792,40.0298881530762,1.99930895485059,5.84000023081899,-8.48204196167169E-5,-5.33552288309277E-5,0.25,-3.50475894563873E-6,-8.57192525092281E-6,-3.51033906522896E-6,300.0274963,300.0276489,9999.796,10000.471,54.6327069801596,19.1513234856744,23.662952,0,0,0,40,4929,299.8682,10000.1335,,,,,,,,,,,,,0,,,,25.1122713,,,,,,300.0275726,,,,
,25905846.4,300.0248413,9939.046,-8.68958861601671E-6,2.32450715993449E-6,1,0.999253354069792,40.0298881530762,1.99945823170556,5.84000023081899,-8.7146589487998E-5,-4.7331680425244E-5,0.25,-2.91897057952356E-6,-8.68738419683206E-6,-2.92464550514073E-6,300.0248413,300.0248413,9933.212,9944.88,54.9539563015635,19.1476049989689,23.662952,0,0,0,40,4961,299.8698,9939.046,,,,,,,,,,,,,0,,,,24.861412,,,,,,300.0248413,,,,
,25905847.11,300.0249939,9891.068,-9.35364938115148E-6,8.08862331346385E-7,1,0.999253354069792,40.0298881530762,1.99953892587671,5.84999984130263,-9.87938295257535E-5,-2.25104769554778E-5,0.25,-4.73231291669464E-7,-9.35304699715103E-6,-4.79422222197276E-7,300.0248413,300.0251465,9848.924,9933.212,53.9565983110249,19.1435478737254,24.033268,0,0,0,40,4961,299.8698,9891.068,,,,,,,,,,,,,0,,,,25.1122713,,,,,,300.0249939,,,,
,25905848.21,300.02490235,9815.714,-8.22577990560171E-6,9.41507878616208E-7,1,0.999253354069792,40.0298881530762,1.99953892587671,5.84000023081899,-8.56458957725951E-5,-2.68453833065253E-5,0.25,-1.07766225275807E-6,-8.22481130693063E-6,-1.08308638830657E-6,300.0246582,300.0251465,9782.504,9848.924,53.587669649948,19.1435478737254,23.662952,0,0,0,40,4961,299.86815,9815.714,,,,,,,,,,,,,0,,,,25.1122713,,,,,,300.02490235,,,,
,25905849.305,300.0246277,9748.0735,-7.89930002804183E-6,8.52938482463068E-7,1,0.999253354069792,40.0298881530762,1.99905162610559,5.84999984130263,-8.14122276471737E-5,-3.04262686310614E-5,0.25,-1.47156508146809E-6,-7.89808021247749E-6,-1.47676061425446E-6,300.0245972,300.0246582,9713.643,9782.504,53.7635360667749,19.1626706720488,24.033268,0,0,0,40,4961,299.8648,9748.0735,,,,,,,,,,,,,0,,,,24.986227,,,,,,300.0246277,,,,
,25905850.465,300.0241394,9674.507,-8.34292585475528E-6,8.11766341326897E-7,1,0.999253354069792,40.0298881530762,1.99903132587612,5.84999984130263,-8.71706643665221E-5,-2.53602943700776E-5,0.25,-9.1835045186631E-7,-8.34205957206479E-6,-9.23857344249063E-7,300.0236816,300.0245972,9635.371,9713.643,54.4912322181788,19.1510107503144,24.403639,0,0,0,40,4961,299.86985,9674.507,,,,,,,,,,,,,0,,,,24.986227,,,,,,300.0241394,,,,
,25905851.555,300.0239563,9601.032,-8.10175682406151E-6,7.12019358747896E-7,1,0.999253354069792,40.0298881530762,1.99894531475383,5.84999984130263,-8.4994857448799E-5,-2.2643142089066E-5,0.25,-7.05663359665268E-7,-8.10103915154551E-6,-7.11016728620332E-7,300.0236816,300.024231,9566.693,9635.371,56.2342638160636,19.1658620424125,24.033268,0,0,0,40,4961,299.8766,9601.032,,,,,,,,,,,,,0,,,,24.861412,,,,,,300.0239563,,,,
,25905852.695,300.02468875,9528.2155,-8.06752964961923E-6,7.46424487640179E-7,1,0.999253354069792,40.0298881530762,1.99925373562729,5.84000023081899,-8.45931819710508E-5,-2.28649640439598E-5,0.25,-7.32167220481936E-7,-8.06679524541442E-6,-7.37496863972083E-7,300.024231,300.0251465,9489.738,9566.693,55.4964064939097,19.160323319742,24.033268,0,0,0,40,4961,299.88835,9528.2155,,,,,,,,,,,,,0,,,,24.986227,,,,,,300.02468875,,,,
,25905853.855,300.02474975,9455.588,-8.13440150992027E-6,6.44535736638167E-7,1,0.999253354069792,40.0298881530762,1.99889069584272,5.84000023081899,-8.5861496317442E-5,-1.97299417546234E-5,0.25,-4.26541706009585E-7,-8.13386777006664E-6,-4.31925236266904E-7,300.024353,300.0251465,9421.438,9489.738,56.4007506906598,19.1654584065185,24.403639,0,0,0,40,4961,299.88665,9455.588,,,,,,,,,,,,,0,,,,24.986227,,,,,,300.02474975,,,,
,25905854.925,300.024353,9390.1105,-8.17769951139516E-6,5.80431210594594E-7,1,0.999253354069792,40.0298881530762,1.99904720787308,5.84000023081899,-8.51463107381569E-5,-2.65624215222791E-5,0.25,-1.06011955777894E-6,-8.17674418045351E-6,-1.06551250138157E-6,300.024353,300.024353,9358.783,9421.438,53.9753573954865,19.1639716416233,24.033268,0,0,0,40,4961,299.87995,9390.1105,,,,,,,,,,,,,0,,,,24.986227,,,,,,300.024353,,,,
,25905856.07,300.0246124,9318.9895,-7.88586271246371E-6,6.24571804386793E-7,1,0.999253354069792,40.0298881530762,1.99949299504264,5.84000023081899,-8.21488942195646E-5,-2.54845253441128E-5,0.25,-1.00957965176992E-6,-7.88494978001263E-6,-1.01478071874038E-6,300.024353,300.0248718,9279.196,9358.783,53.7479034963903,19.148828477273,23.662952,0,0,0,40,4961,299.87325,9318.9895,,,,,,,,,,,,,0,,,,25.2370863,,,,,,300.0246124,,,,
,25905857.265,300.02438355,9240.0585,-7.4956265521288E-6,7.57301742630871E-7,1,0.999253354069792,40.0298881530762,1.99915807408822,5.84999984130263,-7.88140219893863E-5,-1.99808663995419E-5,0.25,-5.61794451519373E-7,-7.49502279044357E-6,-5.66750574372556E-7,300.0238953,300.0248718,9200.921,9279.196,54.4115061092173,19.1529102259062,23.662952,0,0,0,40,4961,299.8682,9240.0585,,,,,,,,,,,,,0,,,,25.3631306,,,,,,300.02438355,,,,
,25905858.46,300.0236969,9157.365,-7.39258737716285E-6,9.15213720588339E-7,1,0.999253354069792,40.0298881530762,1.99934105325813,5.84999984130263,-7.72434400422872E-5,-2.25266134168336E-5,0.25,-8.18600509132926E-7,-7.39181663710735E-6,-8.23480182928001E-7,300.0234985,300.0238953,9113.809,9200.921,54.2637783190827,19.1491090732237,23.662952,0,0,0,40,4961,299.88165,9157.365,,,,,,,,,,,,,0,,,,25.3631306,,,,,,300.0236969,,,,
,25905859.725,300.02366635,9081.2565,-7.73820862023036E-6,7.93390908424838E-7,1,0.999253354069792,40.0298881530762,1.99955559835918,5.84000023081899,-8.19620518213948E-5,-1.73106782854367E-5,0.25,-2.68362988314767E-7,-7.73779231896037E-6,-2.734889514806E-7,300.0234985,300.0238342,9048.704,9113.809,55.8708065546213,19.1373401370473,24.033268,0,0,0,40,4961,299.8833,9081.2565,,,,,,,,,,,,,0,,,,25.2370863,,,,,,300.02366635,,,,
,25905861.78,300.0232544,8967.6125,-6.84612144082083E-6,5.27284580335001E-7,1,0.999253354069792,40.0298881530762,1.99875989634269,5.84999984130263,-7.14302199928895E-5,-2.13320930031316E-5,0.25,-8.02815032651662E-7,-6.84537813291238E-6,-8.07332570674241E-7,300.0232544,300.0232544,8959.523,8975.702,54.1215219285826,19.1601032293931,23.662952,0,0,0,40,4961,299.8934,8967.6125,,,,,,,,,,,,,0,,,,24.861412,,,,,,300.0232544,,,,
,25905862.46,300.02388,8923.302,-6.83928773425121E-6,6.92854356988311E-7,1,0.999253354069792,40.0298881530762,1.99970910078716,5.84000023081899,-7.17708989366551E-5,-1.91539309869088E-5,0.25,-5.98725710864612E-7,-6.83867983701953E-6,-6.03245193200151E-7,300.0232544,300.0245056,8887.081,8959.523,54.2434559775827,19.1512703259528,23.662952,0,0,0,40,4961,299.8833,8923.302,,,,,,,,,,,,,0,,,,24.861412,,,,,,300.02388,,,,
