[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,FECONIBSI-M1-45-MVSH-300K
FILEOPENTIME,31770342.72,01/27/2026,8:34 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FeCoNiBSi-M1,SAMPLE_MATERIAL
INFO,FeCoNiBSi-M1-45 grados,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,2.9 mm x 1.85 mm x 0.04 mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31770401,300.0280457,999.989,,,2,,,,5.77000001914799,,,,,,,300.0280457,300.0280457,999.989,999.989,,,24.774065,,,,-99999999,4929,299.912,999.989,,,,,,,,,,,,,,,,,,,,,,,300.0280457,,,,
sample offset = 33.99 mm touchdown = -1.18999998085201 mm,31770417.485,300.0276794,999.8985,0.0772794688662739,1.34318424570121E-5,1,0.999253354069792,40.0298881530762,1.98639796204345,5.7600000873208,0.819062020864315,0.138718723675216,2.5,-0.000441127452388959,0.077277365105343,-0.000389782324354716,300.0276794,300.0276794,999.859,999.938,51.6484492937362,18.9851625073094,24.774065,0,0,0,40,4929,299.90355,999.8985,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0276794,,,,
,31770434.66,300.0280762,930.0965,0.0767467609365689,1.43860683473767E-5,1,0.999253354069792,40.0298881530762,1.9862051027329,5.77000016346574,0.813209727532559,0.138496408392528,2.5,-0.000367560135383599,0.0767446235264743,-0.000316570002220052,300.0280762,300.0280762,912.776,947.417,51.8837194780247,18.9817816150793,24.403639,0,0,0,40,4961,299.8999,930.0965,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.0280762,,,,
,31770437.66,300.02677915,810.696,0.075772372683554,2.07508843522146E-5,1,0.999253354069792,40.0298881530762,1.98688087891406,5.75000001117587,0.803244125675416,0.136222485534446,2.5,-0.00041577166278998,0.0757703012404673,-0.000365424972909542,300.0267639,300.0267944,798.785,822.607,52.7560169054864,18.9959022423807,24.403639,0,0,0,40,4961,299.8915,810.696,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.02677915,,,,
,31770440.17,300.027832,716.736,0.074596632623897,2.21880043408813E-5,1,0.999253354069792,40.0298881530762,1.98610249727988,5.7600000873208,0.790497390997033,0.133985163374972,2.5,-0.000416252611096532,0.0745945950200622,-0.000366689393814497,300.027832,300.027832,708.842,724.63,52.6997396521017,18.9722752872815,24.403639,0,0,0,40,4961,299.90665,716.736,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.027832,,,,
,31770443.255,300.0268555,585.025,0.0731328054129631,2.58672419718662E-5,1,0.999253354069792,40.0298881530762,1.98620729493312,5.75000001117587,0.774896434403192,0.132092542296687,2.5,-0.000339135604115907,0.073130764775054,-0.000290546484439203,300.0268555,300.0268555,577.139,592.911,53.7322709260057,18.9735905358366,24.403639,0,0,0,40,4961,299.90665,585.025,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0268555,,,,
,31770446.435,300.0257874,468.403,0.0713821985609108,4.0085684215081E-5,1,0.999253354069792,40.0298881530762,1.98617356178452,5.77000016346574,0.756490936510888,0.128039913471439,2.5,-0.000414950438862975,0.0713802655582162,-0.00036752192536693,300.0257874,300.0257874,464.462,472.344,53.2460979870441,18.9747687617068,24.033268,0,0,0,40,4961,299.91,468.403,,,,,,,,,,,,,0,,,,25.8749752,,,,,,300.0257874,,,,
,31770449.805,300.0239868,330.318,0.068653321051314,4.87692118077542E-5,1,0.999253354069792,40.0298881530762,1.98599101816849,5.73999993503094,0.727424907732719,0.123603613576044,2.5,-0.00035475253622618,0.0686514372264932,-0.000309136476977848,300.0239868,300.0239868,318.623,342.013,52.7638331906787,18.9718589844838,24.033268,0,0,0,40,4961,299.9016,330.318,,,,,,,,,,,,,0,,,,26.004879,,,,,,300.0239868,,,,
,31770452.83,300.025116,219.166,0.06389088975381,0.000108494255186401,1,0.999253354069792,40.0298881530762,1.98666721120908,5.7600000873208,0.677263579831332,0.114612849136385,2.5,-0.000373006947018487,0.063889161945045,-0.000330550674511091,300.025116,300.025116,215.233,223.099,52.5699893179094,18.9629864490175,24.403639,0,0,0,40,4961,299.88475,219.166,,,,,,,,,,,,,0,,,,26.26596545,,,,,,300.025116,,,,
,31770455.95,300.0245361,98.499,0.0450753037380208,0.000549195398342021,1,0.999253354069792,40.0298881530762,1.98620808726736,5.7600000873208,0.477672153946882,0.0810408622083861,2.5,-0.000244374835710706,0.0450740735177262,-0.000214424655794963,300.0245361,300.0245361,87.065,109.933,53.3649055219672,18.9857740809111,24.403639,0,0,0,40,4961,299.90665,98.499,,,,,,,,,,,,,0,,,,26.1347828,,,,,,300.0245361,,,,
