[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,POLIMERO-MVSH-300K
FILEOPENTIME,31775605.22,01/27/2026,10:01 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Polimero,SAMPLE_MATERIAL
INFO,Polimero,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35 mm touchdown = 0.00999999974737875 mm,31775647.665,300.0393677,999.912,-2.79165515572737E-5,6.31737063581025E-7,1,0.999253354069792,40.0298881530762,1.99755065326836,5.95000013709068,-0.000297469679276408,-5.06103493523004E-5,0.25,1.38373770991609E-7,-2.79157644568995E-5,1.19823510205044E-7,300.0393677,300.0393677,999.912,999.912,52.8310532433325,19.0145004599919,24.033268,0,0,0,40,4929,299.8645,999.912,,,,,,,,,,,,,0,,,,26.9298592,,,,,,300.0393677,,,,
,31775681.55,300.032074,292.836,,,2,,,,5.96999999949476,,,,,,,300.032074,300.032074,292.836,292.836,,,24.403639,,,,-99999999,4961,299.8451,292.836,,,,,,,,,,,,,,,,,,,,,,,300.032074,,,,
touchdown = 0.0199999994947575 mm,31775697.785,300.0304565,-335.0445,9.91685905242958E-6,5.73861376036847E-7,1,0.999253354069792,40.0298881530762,1.99775260484785,5.96000021323562,0.000105684634543965,1.7959698020219E-5,0.25,-5.10778816190341E-8,9.91658418752746E-6,-4.44876266129762E-8,300.0304565,300.0304565,-346.354,-323.735,52.3784903306978,19.0319716852028,23.662952,0,0,0,40,4961,299.8599,-335.0445,,,,,,,,,,,,,0,,,,27.33679105,,,,,,300.0304565,,,,
,31775701.01,300.0287781,-453.2015,1.36792468875739E-5,4.39404034821419E-7,1,0.999253354069792,40.0298881530762,1.9975925859167,5.96000021323562,0.000145539870705096,2.60821037427141E-5,0.25,5.26349072322291E-8,1.36787868588505E-5,6.17217666310271E-8,300.0287781,300.0287781,-460.672,-445.731,52.3065805069286,19.0184204592393,24.033268,0,0,0,40,4961,299.8534,-453.2015,,,,,,,,,,,,,0,,,,27.33679105,,,,,,300.0287781,,,,
,31775703.975,300.02923585,-565.541,1.61002380306026E-5,3.84420599620329E-7,1,0.999253354069792,40.0298881530762,1.9976922148685,5.95000013709068,0.000171149143222645,3.15951303755152E-5,0.25,1.46055947308221E-7,1.60996404235687E-5,1.56748295278613E-7,300.0291748,300.0292969,-569.229,-561.853,53.0303685157364,19.0272960120905,24.403639,0,0,0,40,4961,299.85335,-565.541,,,,,,,,,,,,,0,,,,26.9298592,,,,,,300.02923585,,,,
,31775706.805,300.0285645,-667.294,1.64939375025264E-5,3.26028511217982E-7,1,0.999253354069792,40.0298881530762,1.99781784989246,5.96000021323562,0.000174415731548188,3.76712330720928E-5,0.25,6.47530930545788E-7,1.64929950147257E-5,6.58468533025582E-7,300.0285645,300.0285645,-674.623,-659.965,52.6348644850056,19.0312104932766,23.662952,0,0,0,40,4961,299.868,-667.294,,,,,,,,,,,,,0,,,,27.4733219,,,,,,300.0285645,,,,
,31775710.065,300.0278625,-785.501,2.23059761329635E-5,4.77596181046487E-7,1,0.999253354069792,40.0298881530762,1.99798288350211,5.95000013709068,0.000238117271022558,3.82622875997335E-5,0.25,-3.15748717551534E-7,2.23054936535149E-5,-3.00919405000518E-7,300.0278625,300.0278625,-796.555,-774.447,52.3526965895632,19.0255876497547,24.033268,0,0,0,40,4961,299.855,-785.501,,,,,,,,,,,,,0,,,,27.20159055,,,,,,300.0278625,,,,
,31775713.26,300.0267334,-896.7495,2.61506502432585E-5,4.99174230597668E-7,1,0.999253354069792,40.0298881530762,1.99765569950911,5.96000021323562,0.000278219637529524,4.99637547180305E-5,0.25,1.10111813079466E-7,2.61497667071825E-5,1.27482012557056E-7,300.0267334,300.0267334,-900.333,-893.166,52.3675475314286,19.0185939501296,24.033268,0,0,0,40,4961,299.855,-896.7495,,,,,,,,,,,,,0,,,,27.0650597,,,,,,300.0267334,,,,
,31775715.95,300.0271912,-982.367,2.89339233044848E-5,6.33343231034543E-7,1,0.999253354069792,40.0298881530762,1.99768843731718,5.96000021323562,0.000308293592219015,5.26711107029103E-5,0.25,-1.23422771299964E-7,2.89331082337958E-5,-1.041972611847E-7,300.0271912,300.0271912,-985.736,-978.998,52.3698924169863,19.0217584055276,24.033268,0,0,0,40,4961,299.86635,-982.367,,,,,,,,,,,,,0,,,,27.2002602,,,,,,300.0271912,,,,
,31775724.965,300.0250854,-999.992,2.90447361693959E-5,3.98327116589821E-7,1,0.999253354069792,40.0298881530762,1.99785835306446,5.96000021323562,0.000308836207775202,5.66618633110307E-5,0.25,2.31544174730259E-7,2.90436841339129E-5,2.50833762713936E-7,300.0250854,300.0250854,-1000.058,-999.926,52.504332522294,19.0258228601257,24.403639,0,0,0,40,4929,299.8469,-999.992,,,,,,,,,,,,,0,,,,27.4733219,,,,,,300.0250854,,,,
