tiempo,morado,rojo,naranja,amarillo,verde
0.00,0,0,110,0,0
0.00,0,53,11,0,0
0.00,0,0,0,0,0
0.00,0,0,43,0,0
0.00,0,21,121,0,0
0.00,144,235,77,0,0
0.00,0,71,119,0,0
1.00,0,0,0,0,0
1.00,118,210,65,0,0
1.00,0,0,94,0,0
1.00,25,98,2,0,0
1.00,47,46,109,0,0
1.00,0,0,74,0,0
2.00,163,240,166,0,16
2.00,0,0,195,0,1
2.00,0,54,94,0,0
2.00,29,89,186,0,0
2.00,42,70,202,0,0
2.00,18,97,128,0,0
2.00,0,84,210,0,0
3.00,48,98,125,0,0
3.00,0,0,8,0,0
3.00,128,198,48,0,0
3.00,0,0,101,0,0
3.00,0,45,0,0,0
3.00,38,123,215,0,0
4.00,0,0,26,0,0
4.00,0,0,16,0,0
4.00,154,249,28,0,0
5.00,0,0,71,0,0
5.00,0,0,83,0,0
5.00,0,0,99,0,0
5.00,0,0,101,0,0
5.00,0,0,141,0,0
5.00,0,0,560,304,275
5.00,0,0,224,28,0
6.00,0,0,207,16,23
6.00,0,0,202,4,10
6.00,0,0,99,0,0
6.00,0,0,65,0,0
6.00,0,0,97,0,0
6.00,0,0,80,0,0
7.00,0,0,80,0,0
7.00,0,0,80,0,0
7.00,0,0,87,0,0
7.00,0,0,101,0,0
7.00,0,0,71,0,0
7.00,0,0,96,0,0
8.00,0,0,83,0,0
8.00,0,0,111,0,0
8.00,0,0,84,0,0
8.00,0,0,84,0,0
8.00,0,0,75,0,0
8.00,0,0,101,0,0
8.00,0,0,66,0,0
9.00,0,0,82,0,0
9.00,0,0,266,103,52
9.00,0,0,234,80,74
9.00,0,0,411,298,266
9.00,0,0,304,107,93
9.00,0,0,291,147,115
10.00,0,0,80,0,0
10.00,0,0,283,113,68
10.00,0,0,239,103,48
10.00,0,0,242,112,64
10.00,0,0,267,144,73
10.00,0,0,334,176,96
11.00,0,0,278,170,77
11.00,0,0,410,229,150
11.00,0,0,304,189,94
11.00,0,0,621,343,274
11.00,0,0,294,146,73
11.00,0,0,269,144,69
12.00,0,0,230,135,53
12.00,0,0,464,212,198
12.00,0,0,383,152,132
12.00,0,0,272,96,26
12.00,0,0,317,147,70
12.00,0,0,344,137,64
13.00,0,0,511,109,32
13.00,0,0,507,144,64
13.00,0,0,390,151,77
13.00,0,0,215,103,40
13.00,0,0,178,99,33
13.00,0,0,171,144,78
14.00,0,0,128,103,21
14.00,0,0,144,137,48
14.00,0,0,164,117,42
